,@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,pii,citedby-count,affiliation,pubmed-id,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,freetoread,freetoreadLabel,prism:isbn
0,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85112246017', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85112246017?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85112246017&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85112246017&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1052305721004390'}",https://api.elsevier.com/content/abstract/scopus_id/85112246017,SCOPUS_ID:85112246017,2-s2.0-85112246017,Artificial Inteligence-Based Decision for the Prediction of Cardioembolism in Patients with Chagas Disease and Ischemic Stroke,Montanaro V.V.A.,Journal of Stroke and Cerebrovascular Diseases,10523057,15328511,30,10,,2021-10-01,October 2021,10.1016/j.jstrokecerebrovasdis.2021.106034,S1052305721004390,0,"[{'@_fa': 'true', 'affilname': 'Universidade Federal Fluminense', 'affiliation-city': 'Niteroi', 'affiliation-country': 'Brazil'}, {'@_fa': 'true', 'affilname': 'SARAH Network of Rehabilitation Hospitals', 'affiliation-city': 'Brasilia', 'affiliation-country': 'Brazil'}]",34399284,Journal,ar,Article,106034,23884,0,False,,,
1,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85105887514', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85105887514?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85105887514&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85105887514&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85105887514,SCOPUS_ID:85105887514,2-s2.0-85105887514,"Recently updated global diabetic retinopathy screening guidelines: commonalities, differences, and future possibilities",Das T.,Eye (Basingstoke),0950222X,14765454,35,10,2685-2698,2021-10-01,October 2021,10.1038/s41433-021-01572-4,,2,"[{'@_fa': 'true', 'affilname': 'The International Agency for the Prevention of Blindness', 'affiliation-city': 'London', 'affiliation-country': 'United Kingdom'}, {'@_fa': 'true', 'affilname': 'L.V. Prasad Eye Institute India', 'affiliation-city': 'Hyderabad', 'affiliation-country': 'India'}]",33976399,Journal,re,Review,,13867,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}]}",
2,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85116955096', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85116955096?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85116955096&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85116955096&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85116955096,SCOPUS_ID:85116955096,2-s2.0-85116955096,"Cause-specific mortality prediction in older residents of Saõ Paulo, Brazil: A machine learning approach",Do Nascimento C.F.,Age and Ageing,00020729,14682834,50,5,1692-1698,2021-09-01,1 September 2021,10.1093/ageing/afab067,,0,"[{'@_fa': 'true', 'affilname': 'Universidade de São Paulo', 'affiliation-city': 'Sao Paulo', 'affiliation-country': 'Brazil'}]",33945604,Journal,ar,Article,,28093,0,False,,,
3,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85109585981', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85109585981?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85109585981&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85109585981&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0169260721002947'}",https://api.elsevier.com/content/abstract/scopus_id/85109585981,SCOPUS_ID:85109585981,2-s2.0-85109585981,Machine learning for surgical time prediction,Martinez O.,Computer Methods and Programs in Biomedicine,01692607,18727565,208,,,2021-09-01,September 2021,10.1016/j.cmpb.2021.106220,S0169260721002947,0,"[{'@_fa': 'true', 'affilname': 'Pontificia Universidad Javeriana', 'affiliation-city': 'Bogota', 'affiliation-country': 'Colombia'}]",34161848,Journal,ar,Article,106220,23604,0,False,,,
4,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85106617575', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85106617575?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85106617575&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85106617575&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85106617575,SCOPUS_ID:85106617575,2-s2.0-85106617575,The impact of covid 19 on university staff and students from iberoamerica: Online learning and teaching experience,Jojoa M.,International Journal of Environmental Research and Public Health,16617827,16604601,18,11,,2021-06-01,1 June 2021,10.3390/ijerph18115820,,1,"[{'@_fa': 'true', 'affilname': 'Universidad de Deusto', 'affiliation-city': 'Bilbao', 'affiliation-country': 'Spain'}]",34071535,Journal,ar,Article,5820,144989,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",
5,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85104657972', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85104657972?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85104657972&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85104657972&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85104657972,SCOPUS_ID:85104657972,2-s2.0-85104657972,Covid-19 Dynamic Monitoring and Real-Time Spatio-Temporal Forecasting,da Silva C.C.,Frontiers in Public Health,,22962565,9,,,2021-04-08,8 April 2021,10.3389/fpubh.2021.641253,,1,"[{'@_fa': 'true', 'affilname': 'Universidade de Pernambuco', 'affiliation-city': 'Recife', 'affiliation-country': 'Brazil'}]",33898377,Journal,ar,Article,641253,21100798718,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",
6,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85104152762', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85104152762?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85104152762&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85104152762&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85104152762,SCOPUS_ID:85104152762,2-s2.0-85104152762,Classification models for COVID-19 test prioritization in Brazil: Machine learning approach,Dos Santos Santana Í.V.,Journal of Medical Internet Research,,14388871,23,4,,2021-04-01,April 2021,10.2196/27293,,1,"[{'@_fa': 'true', 'affilname': 'Federal University of Agreste of Pernambuco', 'affiliation-city': 'Garanhuns', 'affiliation-country': 'Brazil'}]",33750734,Journal,ar,Article,e27293,23709,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",
7,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85104047429', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85104047429?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85104047429&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85104047429&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85104047429,SCOPUS_ID:85104047429,2-s2.0-85104047429,Leprosy screening based on artificial intelligence: Development of a cross-platform app,De Souza M.L.M.,JMIR mHealth and uHealth,,22915222,9,4,,2021-04-01,April 2021,10.2196/23718,,0,"[{'@_fa': 'true', 'affilname': 'Universidade Federal de Juiz de Fora', 'affiliation-city': 'Juiz de Fora', 'affiliation-country': 'Brazil'}]",33825685,Journal,ar,Article,e23718,21100893578,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",
8,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85114197279', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85114197279?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85114197279&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85114197279&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85114197279,SCOPUS_ID:85114197279,2-s2.0-85114197279,A causal modelling for desertion and graduation prediction using Bayesian networks: A Chilean case,Peralta B.,"2021 IEEE International Conference on Automation/24th Congress of the Chilean Association of Automatic Control, ICA-ACCA 2021",,,,,,2021-03-22,22 March 2021,10.1109/ICAACCA51523.2021.9465333,,0,"[{'@_fa': 'true', 'affilname': 'Universidad Andrés Bello', 'affiliation-city': 'Santiago', 'affiliation-country': 'Chile'}]",,Conference Proceeding,cp,Conference Paper,9465333,21101058141,0,False,,,"[{'@_fa': 'true', '$': '9781665401272'}]"
9,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85104862232', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85104862232?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85104862232&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85104862232&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85104862232,SCOPUS_ID:85104862232,2-s2.0-85104862232,Intelligent epidemiological surveillance in the Brazilian semiarid,Valter R.,"2020 IEEE International Conference on E-Health Networking, Application and Services, HEALTHCOM 2020",,,,,,2021-03-01,1 March 2021,10.1109/HEALTHCOM49281.2021.9399018,,0,"[{'@_fa': 'true', 'affilname': 'IFCE', 'affiliation-city': 'Aracati', 'affiliation-country': 'Brazil'}]",,Conference Proceeding,cp,Conference Paper,9399018,21101043556,0,False,,,"[{'@_fa': 'true', '$': '9781728162676'}]"
