,id,abstract,keywords
0,SCOPUS_ID:85111860569,"The COVID-19 pandemic continues to have a devastating impact on Brazil. Brazil’s social, health and economic crises are aggravated by strong societal inequities and persisting political disarray. This complex scenario motivates careful study of the clinical, socioeconomic, demographic and structural factors contributing to increased risk of mortality from SARS-CoV-2 in Brazil specifically. We consider the Brazilian SIVEP-Gripe catalog, a very rich respiratory infection dataset which allows us to estimate the importance of several non-laboratorial and socio-geographic factors on COVID-19 mortality. We analyze the catalog using machine learning algorithms to account for likely complex interdependence between metrics. The XGBoost algorithm achieved excellent performance, producing an AUC-ROC of 0.813 (95% CI 0.810–0.817), and outperforming logistic regression. Using our model we found that, in Brazil, socioeconomic, geographical and structural factors are more important than individual comorbidities. Particularly important factors were: The state of residence and its development index; the distance to the hospital (especially for rural and less developed areas); the level of education; hospital funding model and strain. Ethnicity is also confirmed to be more important than comorbidities but less than the aforementioned factors. In conclusion, socioeconomic and structural factors are as important as biological factors in determining the outcome of COVID-19. This has important consequences for policy making, especially on vaccination/non-pharmacological preventative measures, hospital management and healthcare network organization. © 2021, The Author(s).",
1,SCOPUS_ID:85103010291,"Smallholder farmers are amongst the most vulnerable communities in developing countries, lacking a stable income due to inconsistent access to markets. Aiming to tackle rural poverty, the Brazilian government established institutional markets for smallholder farmers to supply their produce to schools through a non-competitive bidding mechanism. However, participation of farmers is still limited due to the challenging decision-making process. Aspiring to contribute towards increasing their participation, this study aims to support farmers into two key decisions they face during sequential stages of the bidding process, namely whether to bid for each available school and product combination and whether subsequently to accept the awarded bids once the bids’ outcome is known. A decision support system, based on two sequential MILP optimisation models, was developed and applied to the case study of Canudos settlement, guiding farmers on the optimal bidding and contract acceptance strategy. This study contributes to the decision support systems field by applying OR methods to a real-life problem within a new context. It is the first application of an OR-based decision support system in the non-competitive bid/no-bid literature, defining an optimal bidding strategy through the application of optimisation methods to maximise profitability while removing subjectivity from the decision-making process. Moreover, it is the first decision support system within the bid/no-bid decision-making field being applied to the agricultural and institutional market context. The proposed approach could have a significant social impact for smallholder farmers in Brazil, improving their living conditions by providing security of income and strengthening inclusive agricultural growth. © 2021 Elsevier B.V.","Bidding,Decision support systems,OR in agriculture,OR in developing countries,Smallholder farmers"
2,SCOPUS_ID:85116428769,"Crime is one of the most severe social problems in developed and emerging countries, and it affects welfare, economy, and regional development. The study of criminal behavior is significant to the formulation of new law enforcement strategies for crime prevention and control. In addition, some governments have implemented projects in a smart cities context to make available some databases related to various phenomena that occur inside their cities, including those associated with criminal acts. Medellin, Colombia, has several public databases where it is possible to get information about mobility, education, infrastructure, health, and security. In this work, some Machine Learning models are developed and evaluated for crime hotspots prediction using available geographical, temporal and demographic information available in Medellin for a period between 2015 and 2019. The work analyzes the implications of selecting geographic divisions and the separation of time intervals in the models. As a result, it was found that the models based on Decision Trees present an F1-Score of 88.2 % and have better performance than models based on Logistic Regression and Neural Networks (MLP). © 2021 IEEE.","crime hotspots,Crime prediction,machine learning,predictive models"
3,SCOPUS_ID:85112764575,"This passage gave an analyse big data collected from UNESCO and report from governments then give health index to countries and focus on Brazil to give some possible solutions to the problem. First, we aim to develop EHSIS model to assess the health of any national higher education system. We define the weight of the indexes by subjective weighting and objective weighting by using Analytic Hierarchy Process and Principal Component Analysis (AHP) to compare the importance of different weight and Entropy Method to get the weight from comparing the degree of dispersion of indicators. Then combine the weight and the normalized data to get the model to give scores to sample countries relying on the eight indexes. Then, we screened out several indicators with greater influence through Principal Component Analysis and correlation analysis of factors and extracted the recommended adjustable indicators to 3. We found that the proportion of foreign students has the greatest impact on the health and sustainability of higher education in the country, and it has a high correlation with QS excellent schools and UN News excellent schools, which are difficult to control. Other indicators that have a greater impact include the teacher-student ratio, employment rate, etc. Last, we forecast the changes of indexes without the policy by Grey prediction and use the memory-less of Markov Chain to predict the change after introducing new policies. In order to evaluate the effectiveness of our policy, we utilize EHSIS model to give the score and compare the score with and without the policy and find a significant increase in score. What's more, we discuss the real-world influence and the hardness of achieving the goal. © Published under licence by IOP Publishing Ltd.",
4,SCOPUS_ID:85115802146,"The main purpose of this research work is to predict the academic performance of students from the Public Technological Higher Education Institute ""Manuel Nuñez Butron""(IESTP MNB) located in the Juliaca city in the Department of Puno, Peru. The data of the academic process from the first semester will be used in this proposal, considering that it is very important for an Institution to know previously the possible academic performance of its students and reduce their desertion. That is to say, good or bad academic performance in the first semester at the institution, which will subsequently redound in future semesters. The prediction will help us to project strategies that together with the institution, teachers, students, and parents can improve their activities of the teaching-learning process. To achieve the purpose of prediction, Machine Learning will be used, specifically, classification techniques to design a predictive model that allows to determine the academic performance of students and reduce their desertion, likewise to determine the best predictive algorithm. © 2021 AISTI.","academic performance,classification algorithms,higher technological level,Machine learning,student dropouts"
5,SCOPUS_ID:85106617575,"(1) Background: The COVID-19 pandemic has created a great impact on mental health in society. Considering the little attention paid by scientific studies to either students or university staff during lockdown, the current study has two aims: (a) to analyze the evolution of mental health and (b) to identify predictors of educational/professional experience and online learning/teaching expe-rience. (2) Methods: 1084 university students and 554 staff in total from four different countries (Spain, Colombia, Chile and Nicaragua) participated in the study, affiliated with nine different uni-versities, four of them Spanish and one of which was online. We used an online survey known as LockedDown, which consists of 82 items, analyzed with classical multiple regression analyses and machine learning techniques. (3) Results: Stress level and feelings of anxiety and depression of students and staff either increased or remained over the weeks. A better online learning experience for university students was associated with the age, perception of the experience as beneficial and support of the university. (4) Conclusions: The study has shown evidence of the emotional impact and quality of life for both students and staff. For students, the evolution of feelings of anxiety and de-pression, as well as the support offered by the university affected the educational experience and online learning. For staff who experienced a positive professional experience, with access to services and products, the quality-of-life levels were maintained. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","COVID-19,Mental health,Online learning,University staff,University students"
6,SCOPUS_ID:85114197279,"Currently the high rates of university dropouts and low graduation are social problems that are very relevant in Chilean society. Predicting these events can allow institutions to take action to avoid them. The typical prediction models based on machine learning are capable of making reliable predictions, however they do not allow to understand the causality that originates both events, which could help to take better actions. This work proposes to find, analyze and weigh the causal relationships that allow predicting whether a student will drop out or will graduate according to the information available using a framework with Bayesian networks. The study is based on real data from the Universidad Católica de Temuco in Chile collected over three years. The results reveal variables and relevant relationships according the opinion of human experts, which suggest that the proposed model provides better capabilities to represent the causality of university dropout and graduation. From the results we believe that it is feasible to design better retention policies and timely degree at a university. © 2021 IEEE.","Bayesian networks,Desertion,Education,Graduation"
7,SCOPUS_ID:85116836125,"The proceedings contain 44 papers. The special focus in this conference is on Engineering Applications. The topics include: Entrepreneurial Intention in Vocational Technical Schools in Emerging Economies: A Case Study of Barranquilla, Colombia; methodology for the Implementation of Kalman Filters on Real Applications; Application of the CERT Values Measurement Model for Organizational Culture in the Management and Quality Company; analysis of Traceability Systems for Reducing the Bullwhip Effect in the Perishable Food Supply Chain: A System Dynamics Approach; maintenance Management of an Additive Manufacturing System Based on the I4.0 Model; SSCF-Hyperthermia Study in MCF-7 Spheroids – In Silicio; Can Communication Topology Improve a Multi-swarm PSO Algorithms?; heterogeneous Acoustic Features Space for Automatic Classification of Drone Audio Signals; Dynamic Recognition and Classification of Trajectories in SLRecon Adopted Artificial Intelligence in Kinect; robust Automatic Speech Recognition for Call Center Applications; organizational Online Reputation Measurement Through Natural Language Processing and Sentiment Analysis Techniques; automatic Classification of Energy Consumption Profiles in Processes of the Oil & Gas Industry in Colombia; advanced Engineering Control Strategies Applied to Occupational Noise Management in Mining Dump Trucks; Variable-Prioritizing and Instrumentation for Monitoring of an Electrically-Powered Fluvial Vessel Through a FDM Approach; fake Speech Recognition Using Deep Learning; computational Design of a Road Safety Model Elaborated in Epoxy Material Reinforced with Glass Fibers and SiO2 Addition; improvement of Visual Perception in Humanoid Robots Using Heterogeneous Architectures for Autonomous Applications; agro-Smart Caribe: Soil Moisture Measurement System; exploring Efficiency and Accessibility in Healthcare Network Design; preface.",
8,SCOPUS_ID:85111680230,"Education in Latin America turned to the use of distance communication strategies in the scenario's face of health, social, and economic consequences resulting from the COVID-19 pandemic. This abrupt change meant reviewing a set of conditions that drastically affected quality teaching and education in the region. This chapter addresses the conditions that universities in Latin America countries must face in order to ensure that their students can develop quality knowledge through the conditions present in distance and hybrid models, and the efforts that must be concentrated on in teacher's training, in order to professionalize in a more innovative manner in the face of digital and remote teaching. The factors that universities at the region should consider in their models to address the relevance and encourage the development of activities to meet their objectives and those of the community in which they take part. In the same way, the metrics, indicators and data for the areas of opportunity and the analysis of information used for decision making will be reviewed, and the use of artificial intelligence, Internet of Things, big data, data analytics, cloud computing and the complement information and communication technologies required in the digital transformation of the universities in the Latin America region. © 2021, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Artificial intelligence,Cloud computing,COVID-19,Digital transformation,Educational innovation,Higher education,Hybrid systems,Key performance indicators,Latin American universities"
9,SCOPUS_ID:85109892637,"This article provides evidence of the impact of the Qali Warma school feeding program on anemia and chronic malnutrition in children between 3 and 5 years of age in Peru. Drawing on data from the 2014 to 2017 Peruvian Demographic and Health Survey, empirical results were obtained through a quantitative two-step evaluation. First, entropy balancing and machine learning techniques were used to achieve a comparable control group that allowed for robust estimates. Then, employing regressions, the program’s effect on the variables of interest were estimated. The results indicate that Qali Warma has no effect on anemia or on chronic malnutrition in the age range studied. © Creative Commons Attribution 3.0.","Anemia,Child nutrition disorders,Children,Nutrition programs and policies,Peru"
