,@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:eIssn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,pii,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,prism:issueIdentifier,freetoread,freetoreadLabel,pubmed-id,prism:isbn
0,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85117816195', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85117816195?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85117816195&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85117816195&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0378377421005588'}",https://api.elsevier.com/content/abstract/scopus_id/85117816195,SCOPUS_ID:85117816195,2-s2.0-85117816195,Exploring machine learning and multi-task learning to estimate meteorological data and reference evapotranspiration across Brazil,Ferreira L.B.,Agricultural Water Management,03783774,18732283,259,,2022-01-01,1 January 2022,10.1016/j.agwat.2021.107281,S0378377421005588,0,"[{'@_fa': 'true', 'affilname': 'Universidade Federal de Vicosa', 'affiliation-city': 'Vicosa', 'affiliation-country': 'Brazil'}]",Journal,ar,Article,107281,35824,0,False,,,,,
1,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85099809927', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85099809927?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85099809927&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85099809927&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85099809927,SCOPUS_ID:85099809927,2-s2.0-85099809927,Determining the geographical origin of lettuce with data mining applied to micronutrients and soil properties,Maione C.,Scientia Agricola,01039016,1678992X,79,1-15,2022-01-01,2022,10.1590/1678-992x-2020-0011,,1,"[{'@_fa': 'true', 'affilname': 'Universidade Federal de Goiás', 'affiliation-city': 'Goiania', 'affiliation-country': 'Brazil'}]",Journal,ar,Article,e20200011,4000151823,1,True,1,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}]}",,
2,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85116100214', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85116100214?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85116100214&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85116100214&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0168169921004592'}",https://api.elsevier.com/content/abstract/scopus_id/85116100214,SCOPUS_ID:85116100214,2-s2.0-85116100214,IoT-Agro: A smart farming system to Colombian coffee farms,Rodríguez J.P.,Computers and Electronics in Agriculture,01681699,,190,,2021-11-01,November 2021,10.1016/j.compag.2021.106442,S0168169921004592,0,"[{'@_fa': 'true', 'affilname': 'Universidad del Cauca', 'affiliation-city': 'Popayan', 'affiliation-country': 'Colombia'}]",Journal,ar,Article,106442,30441,0,False,,,,,
3,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85108877601', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85108877601?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85108877601&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85108877601&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0016706121003955'}",https://api.elsevier.com/content/abstract/scopus_id/85108877601,SCOPUS_ID:85108877601,2-s2.0-85108877601,Geological and terrain attributes for predicting soil classes using pixel- and geographic object-based image analysis in the Brazilian Cerrado,Cremon É.H.,Geoderma,00167061,,401,,2021-11-01,1 November 2021,10.1016/j.geoderma.2021.115315,S0016706121003955,0,"[{'@_fa': 'true', 'affilname': 'Instituto Federal de Goiás', 'affiliation-city': 'Goiania', 'affiliation-country': 'Brazil'}]",Journal,ar,Article,115315,39112,0,False,,,,,
4,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85109117093', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85109117093?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85109117093&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85109117093&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0167198721001951'}",https://api.elsevier.com/content/abstract/scopus_id/85109117093,SCOPUS_ID:85109117093,2-s2.0-85109117093,Machinery traffic in sugarcane straw removal operation: Stress transmitted and soil compaction,Castioni G.A.F.,Soil and Tillage Research,01671987,,213,,2021-09-01,September 2021,10.1016/j.still.2021.105122,S0167198721001951,0,"[{'@_fa': 'true', 'affilname': 'Laboratório Nacional de Biorrenováveis', 'affiliation-city': 'Campinas', 'affiliation-country': 'Brazil'}]",Journal,ar,Article,105122,38003,0,False,,,,,
5,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85107618308', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85107618308?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85107618308&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85107618308&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0168192321001337'}",https://api.elsevier.com/content/abstract/scopus_id/85107618308,SCOPUS_ID:85107618308,2-s2.0-85107618308,Forecasting frost risk in forest plantations by the combination of spatial data and machine learning algorithms,Diniz É.S.,Agricultural and Forest Meteorology,01681923,,306,,2021-08-15,15 August 2021,10.1016/j.agrformet.2021.108450,S0168192321001337,2,"[{'@_fa': 'true', 'affilname': 'Universidade Federal de Vicosa', 'affiliation-city': 'Vicosa', 'affiliation-country': 'Brazil'}]",Journal,ar,Article,108450,12067,0,False,,,,,
6,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85108849717', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85108849717?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85108849717&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85108849717&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85108849717,SCOPUS_ID:85108849717,2-s2.0-85108849717,Estimation and forecasting of soybean yield using artificial neural networks,Barbosa dos Santos V.,Agronomy Journal,00021962,14350645,113,3193-3209,2021-07-01,July/August 2021,10.1002/agj2.20729,,0,"[{'@_fa': 'true', 'affilname': 'Universidade Estadual Paulista ""Júlio de Mesquita Filho""', 'affiliation-city': 'Sao Paulo', 'affiliation-country': 'Brazil'}]",Journal,ar,Article,,15639,0,False,4,,,,
7,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85105340476', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85105340476?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85105340476&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85105340476&origin=inward', 'full-text': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1574954121000820'}",https://api.elsevier.com/content/abstract/scopus_id/85105340476,SCOPUS_ID:85105340476,2-s2.0-85105340476,An artificial intelligent framework for prediction of wildlife vehicle collision hotspots based on geographic information systems and multispectral imagery,González-Vélez J.C.,Ecological Informatics,15749541,,63,,2021-07-01,July 2021,10.1016/j.ecoinf.2021.101291,S1574954121000820,0,"[{'@_fa': 'true', 'affilname': 'Instituto Tecnológico Metropolitano', 'affiliation-city': 'Medellín', 'affiliation-country': 'Colombia'}]",Journal,ar,Article,101291,3100147401,0,False,,,,,
8,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85087303493', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85087303493?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85087303493&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85087303493&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85087303493,SCOPUS_ID:85087303493,2-s2.0-85087303493,Machine learning in space and time for modelling soil organic carbon change,Heuvelink G.B.M.,European Journal of Soil Science,13510754,13652389,72,1607-1623,2021-07-01,July 2021,10.1111/ejss.12998,,13,"[{'@_fa': 'true', 'affilname': 'ISRIC - World Soil Information', 'affiliation-city': 'Wageningen', 'affiliation-country': 'Netherlands'}, {'@_fa': 'true', 'affilname': 'Wageningen University &amp; Research', 'affiliation-city': 'Wageningen', 'affiliation-country': 'Netherlands'}]",Journal,ar,Article,,36209,1,True,4,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}, {'$': 'Green'}]}",,
9,true,"{'self': 'https://api.elsevier.com/content/abstract/scopus_id/85107932079', 'author-affiliation': 'https://api.elsevier.com/content/abstract/scopus_id/85107932079?field=author,affiliation', 'scopus': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85107932079&origin=inward', 'scopus-citedby': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85107932079&origin=inward'}",https://api.elsevier.com/content/abstract/scopus_id/85107932079,SCOPUS_ID:85107932079,2-s2.0-85107932079,Impact of temperature and water availability on microwave-derived gross primary production,Teubner I.E.,Biogeosciences,17264170,17264189,18,3285-3308,2021-06-04,4 June 2021,10.5194/bg-18-3285-2021,,0,"[{'@_fa': 'true', 'affilname': 'Technische Universität Wien', 'affiliation-city': 'Vienna', 'affiliation-country': 'Austria'}, {'@_fa': 'true', 'affilname': 'Central Institute for Meteorology and Geodynamics, Vienna', 'affiliation-city': 'Vienna', 'affiliation-country': 'Austria'}]",Journal,ar,Article,,130037,1,True,11,"{'value': [{'$': 'all'}, {'$': 'publisherfullgold'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Gold'}, {'$': 'Green'}]}",,
