dc:identifier,prism:coverDate,keyword
SCOPUS_ID:85112246017,2021-10-01,artificial intelligence
SCOPUS_ID:85112246017,2021-10-01,cardio-aortic embolism
SCOPUS_ID:85112246017,2021-10-01,chagas disease
SCOPUS_ID:85112246017,2021-10-01,epidemiology
SCOPUS_ID:85112246017,2021-10-01,ischemic stroke
SCOPUS_ID:85112246017,2021-10-01,multicenter study
SCOPUS_ID:85116955096,2021-09-01,machine learning
SCOPUS_ID:85116955096,2021-09-01,mortality
SCOPUS_ID:85116955096,2021-09-01,older people
SCOPUS_ID:85116955096,2021-09-01,prediction modelling
SCOPUS_ID:85109585981,2021-09-01,assembly methods
SCOPUS_ID:85109585981,2021-09-01,linear regression
SCOPUS_ID:85109585981,2021-09-01,machine learning
SCOPUS_ID:85109585981,2021-09-01,regression trees
SCOPUS_ID:85109585981,2021-09-01,support vector machine
SCOPUS_ID:85109585981,2021-09-01,surgical time prediction
SCOPUS_ID:85106617575,2021-06-01,covid-19
SCOPUS_ID:85106617575,2021-06-01,mental health
SCOPUS_ID:85106617575,2021-06-01,online learning
SCOPUS_ID:85106617575,2021-06-01,university staff
SCOPUS_ID:85106617575,2021-06-01,university students
SCOPUS_ID:85104657972,2021-04-08,covid-19
SCOPUS_ID:85104657972,2021-04-08,covid-19 pandemics forecasting
SCOPUS_ID:85104657972,2021-04-08,digital epidemiology
SCOPUS_ID:85104657972,2021-04-08,sars-cov-2
SCOPUS_ID:85104657972,2021-04-08,spatio-temporal analysis
SCOPUS_ID:85104657972,2021-04-08,spatio-temporal forecasting
SCOPUS_ID:85104152762,2021-04-01,classification models
SCOPUS_ID:85104152762,2021-04-01,covid-19
SCOPUS_ID:85104152762,2021-04-01,medical diagnosis
SCOPUS_ID:85104152762,2021-04-01,test prioritization
SCOPUS_ID:85104047429,2021-04-01,apps
SCOPUS_ID:85104047429,2021-04-01,artificial intelligence
SCOPUS_ID:85104047429,2021-04-01,leprosy
SCOPUS_ID:85104047429,2021-04-01,mhealth
SCOPUS_ID:85104047429,2021-04-01,python
SCOPUS_ID:85104047429,2021-04-01,r
SCOPUS_ID:85104047429,2021-04-01,random forest
SCOPUS_ID:85104047429,2021-04-01,shinyapp
SCOPUS_ID:85114197279,2021-03-22,bayesian networks
SCOPUS_ID:85114197279,2021-03-22,desertion
SCOPUS_ID:85114197279,2021-03-22,education
SCOPUS_ID:85114197279,2021-03-22,graduation
SCOPUS_ID:85104862232,2021-03-01,arbovirus
SCOPUS_ID:85104862232,2021-03-01,brazilian health data
SCOPUS_ID:85104862232,2021-03-01,crisp-dm
SCOPUS_ID:85104862232,2021-03-01,data mining
SCOPUS_ID:85104862232,2021-03-01,public health system
SCOPUS_ID:85102574777,2021-03-01,coronavirus disease
SCOPUS_ID:85102574777,2021-03-01,kohonen map
SCOPUS_ID:85102574777,2021-03-01,latin america
SCOPUS_ID:85102574777,2021-03-01,sars-cov-2
SCOPUS_ID:85102574777,2021-03-01,tropical country
SCOPUS_ID:85102574777,2021-03-01,unsupervised neural networks
SCOPUS_ID:85100533991,2021-03-01,community detection
SCOPUS_ID:85100533991,2021-03-01,community discovery
SCOPUS_ID:85100533991,2021-03-01,natural language processing
SCOPUS_ID:85100533991,2021-03-01,social networks
SCOPUS_ID:85100533991,2021-03-01,sociolinguistic
SCOPUS_ID:85101674301,2021-02-17,anxiety
SCOPUS_ID:85101674301,2021-02-17,coping mechanisms
SCOPUS_ID:85101674301,2021-02-17,covid-19
SCOPUS_ID:85101674301,2021-02-17,depression
SCOPUS_ID:85101674301,2021-02-17,post-traumatic stress disorders
SCOPUS_ID:85101674301,2021-02-17,postpartum
